Geo Point;Nom;Boissons;Site web;Téléphone;Horaires;Accessible PMR;PMR (description);Toilettes PMR;Id Wikidata;Id Wikipédia;Code postal;other_tags
43.2917467,5.5692855;Le Balto;;https://www.facebook.com/lebaltoaubagne/?rc=p;+33 4 42 03 14 62;"Lundi-Samedi 06h30-20h00; Dimanche 08h00-20h00";;;;;;13400;"{""addr:housenumber"": ""32"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Aubagne"", ""addr:street"": ""Rue de la R\u00e9publique""}"
47.5011177,6.7742769;Les Beaux Rivages;;;;;;;;;;;
48.8705231,2.3592938;Yumi;;;;"Lundi-Vendredi 09h00-19h00; Samedi 11h00-19h00";;;;;;;"{""note"": ""bar \u00e0 jus"", ""organic"": ""yes""}"
47.7137004,-2.2158466;Le Calumet;;;;;;;;;;;"{""internet_access:fee"": ""no"", ""internet_access"": ""wlan""}"
48.2835512,6.9559014;;;;;;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre ; mise \u00e0 jour : 2009""}"
50.1361212,4.8243928;Café de la Place;;;;;;;;;;;"{""outdoor_seating"": ""yes""}"
50.6369686,3.0917305;Le Musical;;;;;;;;;;;
44.931976399999996,6.7250176;La Tourmente;;https://latourmente.fr;;;;;;;;;"{""description"": ""Bar - Cocktails - Tapas""}"
43.3655238,-1.7923988;Bar Restaurante Maitane;;;;;;;;;;;
48.0195906,-4.2150378;Bar des sports;;;;;;;;;;29710;"{""addr:housenumber"": ""98"", ""addr:street"": ""Rue La\u00ebnnec""}"
43.284925,3.4458991;La Plancha;;;;;no;;;;;;"{""source"": ""survey""}"
46.9994919,-2.2447572;Café Saint-Louis;;https://fr-fr.facebook.com/cafesaintlouis/;+33 2 28 10 03 79;;;;;;;85330;"{""cuisine"": ""tapas"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Noirmoutier-en-l'\u00cele"", ""addr:street"": ""Place Saint-Louis""}"
50.1354162,4.8239007;Le Café du Musée;;;;;;;;;;;"{""outdoor_seating"": ""yes""}"
47.4475215,5.5910348;Bar du Centre;;;;;;;;;;;
50.6352981,3.1143473;Le Lutecia;;;;;;;;;;;
48.1540094,-1.5800699;Le Bistro'c;;;;;;;;;;;
43.2992681,5.3752292;Le Colbert;;;;;;;;;;;
43.2943255,5.5592643;The Red Lion;;;+33 4 42 83 25 06;Lundi-Mardi 09h00-00h30 / Mercredid-Jeudi 09h00-02h00 / Vendredi-Samedi 17h00-03h00 / Dimanchen18h00-00h30;;;;;;13400;"{""addr:housenumber"": ""252"", ""ref:FR:SIRET"": ""47898520300023"", ""addr:city"": ""Aubagne"", ""ref:FR:NAF"": ""5630Z"", ""start_date"": ""2004-11-01"", ""addr:street"": ""Avenue Antide Boyer""}"
48.8651006,2.377858;Café Rhum Marin;;http://rhum-marin.fr;+33 1 43 57 27 07;Mardi-Samedi 17h00-02h00;;;;;;;"{""addr:housenumber"": ""88"", ""addr:street"": ""Rue Saint-Maur""}"
48.6377419,4.9502684;L'ambassy Bar;;;;;;;;;;;
49.5158485,5.7684214;Before Chicha;;;;;;;;;;54400;"{""addr:housenumber"": ""9"", ""description"": ""Bar \u00e0 chicha, salon de th\u00e9"", ""addr:street"": ""Avenue de Saintignon"", ""outdoor_seating"": ""no"", ""addr:city"": ""Longwy""}"
50.6302529,3.0557979;Karafun;;;;;;;;;;;
43.3387317,5.0530957;Bar Tabac de la Couronne;;;+33 4 42 80 72 13;;;;;;;;"{""outdoor_seating"": ""yes""}"
43.2923939,5.5701059;Grains de siecle;;;+33 4 42 04 26 83;Lundi-Dimanche 12h00-14h30 and 19h00-22h30;;;;;;13400;"{""addr:housenumber"": ""14"", ""ref:FR:SIRET"": ""44840538100014"", ""addr:city"": ""Aubagne"", ""ref:FR:NAF"": ""5610C"", ""outdoor_seating"": ""yes"", ""addr:street"": ""Boulevard Jean Jaur\u00e8s""}"
45.4456274,4.3611091;L'Elixir;;;;;yes;;yes;;;42000;"{""addr:housenumber"": ""12"", ""addr:city"": ""saint Etienne"", ""addr:street"": ""rue francois gillet""}"
49.0051144,1.9084;Bar du centre;;;;;;;;;;;
48.6395076,-2.0133358;Le Perroquet Vert;;;;;;;;;;;
45.1545449,5.3196248;Le Négociant;;;;;;;;;;;
48.8644391,2.3530105;Le Nid - Cocon Ludique;;http://lenid-coconludique.com/;+33 7 82 75 23 00;"PH,Lundi 17h30-01h00; PH,Mardi-Samedi 12h00-01h00; PH,Dimanche 12h00-20h30";yes;;;;;;"{""shop"": ""games""}"
47.0612407,-0.8839342;O'Basque;;;;;;;;;;49300;"{""addr:housenumber"": ""30"", ""addr:city"": ""Cholet"", ""addr:street"": ""Rue Bretonnaise""}"
48.5790674,7.7394479;CocoLobo;;;;;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2009"", ""contact:city"": ""Strasbourg"", ""contact:street"": ""Rue des Glaci\u00e8res"", ""contact:housenumber"": ""2"", ""contact:website"": ""http://www.cocolobo.fr/"", ""contact:postcode"": ""67000""}"
44.0208794,4.9655669;Ona bar;;;;;;;;;;;"{""source"": ""Splashworld 2016"", ""ref"": ""6""}"
45.7786426,3.0810868;Le Mayerling;;;;Lundi-Samedi 08h00-01h00;;;;;;;"{""name:fr"": ""Le Mayerling""}"
43.3081618,5.381486;salon de thé Sidi Bou;;;;;;;;;;;"{""note"": ""association 1901""}"
48.8375341,2.4005448;Le Royal Daumesnil;;;;;;;;;;;
50.6361565,3.0693038;Les 3 Brasseurs;;;;Lundi-Dimanche 11h30-23h30;;;;;;59000;"{""addr:housenumber"": ""18"", ""alt_name"": ""Les trois Brasseurs"", ""addr:street"": ""Place de la Gare"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Lille""}"
46.3253061,-0.4630548;Place des Halles;;;;;;;;;;;
44.399935,0.6529739999999999;Travail;;;;;;;;;;;"{""name:fr"": ""Travail""}"
47.4320787,-0.9863658;;;;;;;;;;;;
48.85813,2.3226573;Le Drop Café;;;;;;;;;;;"{""addr:housenumber"": ""9"", ""name:fr"": ""Le Drop Caf\u00e9"", ""addr:street"": ""rue St. Dominique""}"
48.0560059,-3.4154303;Bar Chez Nono;;;;;;;;;;;
49.4422286,1.1060742;Le Grand Comptoir;;;+33 9 73 53 80 12;;limited;;;;;76000;"{""addr:housenumber"": ""1"", ""addr:city"": ""Rouen"", ""operator"": ""B\u00e9n\u00e9dicte Mazire"", ""smoking"": ""outside"", ""outdoor_seating"": ""yes"", ""addr:street"": ""Rue Saint-Vivien""}"
43.7005407,7.286305;L'escapade;;;;;;;;;;06300;"{""addr:housenumber"": ""53"", ""note"": ""Bar PMU"", ""addr:city"": ""Nice"", ""addr:street"": ""Rue Bonaparte""}"
49.1771136,-0.3535947;The Good Fellows’ Bar;;;;;;;;;;;"{""contact:phone"": ""+33 2 31822655""}"
48.9357856,2.338119;Bar tabac pmu l'orientat café des sports;;;;;;;;;;;"{""name:fr"": ""Bar tabac pmu l'orientat caf\u00e9 des sports""}"
45.5877419,3.1291977;Le champillaud;;;;;;;;;;;"{""source"": ""mapillary"", ""addr:city"": ""Champeix"", ""addr:street"": ""Rue de la Halle""}"
44.8767067,4.8772323;Bar du centre;;;;;;;;;;;
49.4395193,1.0972795;Chester's Café;;www.chesterscafe.com;+33 2 35 07 15 93;;no;;;;;76000;"{""addr:housenumber"": ""44"", ""addr:city"": ""Rouen"", ""operator"": ""Barnet & Associ\u00e9s"", ""smoking"": ""outside"", ""addr:street"": ""Rue de la R\u00e9publique""}"
43.5287073,5.4467943;Coccina Negra;;;;;;;;;;;"{""smoking"": ""yes""}"
43.4189487,6.8522201;Soleil Bar;;;;;;;;;;;
50.716619,1.6145352;Le Vincennes;;;;;;;;;;;"{""shop"": ""tobacco"", ""smoking"": ""outside""}"
45.5022134,5.1392561;Bar;;;;;;;;;;;
45.2904599,6.9134117;Soleillour;;;;;;;;;;;"{""source"": ""survey 2016""}"
43.3918164,-1.6603367;Duke;;;;;;;;;;;"{""name:fr"": ""Duke""}"
46.2745211,4.0401913;Le Penalty;;;;;;;;;;71110;"{""addr:housenumber"": ""27"", ""source"": ""Observations personnelles"", ""addr:city"": ""Marcigny"", ""addr:street"": ""Rue Chevali\u00e8re""}"
45.7784111,3.1087091;Le Wheelie Bar;;;;Lundi 18h00-02h00, Mardi-Samedi 12h00-02h00;;;;;;;
43.5279925,6.1491427;Le Marigny;;;;;;;;;;83570;"{""addr:city"": ""Cotignac"", ""addr:street"": ""Cours Gambetta""}"
48.8876522,2.360035;Le week-end;;;;;;;;;;;"{""source"": ""Observation personnelle""}"
48.5811088,7.7495934;Code Bar;;;;Lundi-Dimanche 18h00-04h00;;;;;;;"{""cocktails"": ""yes"", ""ref:FR:SIRET"": ""79478430600019"", ""source"": ""survey 2017""}"
43.093997,6.07465;Café de la Gare;;;;;;;;;;;"{""outdoor_seating"": ""yes""}"
43.5545655,7.0172272;Civette Carnot;;;;;;;;;;06400;"{""addr:housenumber"": ""4"", ""addr:city"": ""Cannes"", ""addr:street"": ""Boulevard Carnot""}"
43.6873552,-1.229308;Bar Tabac Presse du centre;;;;;;;;;;;
50.7232465,1.6060267;chez Michel;;;;;;;;;;62200;"{""addr:housenumber"": ""17"", ""ref:FR:SIRET"": ""42967375900016"", ""addr:city"": ""Boulogne-sur-Mer"", ""ref:FR:NAF"": ""5630Z"", ""addr:street"": ""Grande Rue""}"
43.5492566,7.0121764;L'Attitude;;;;;;;;;;;
43.5488469,7.0079385;Miam Corner;;;;;;;;;;;
43.296178,-0.3673223;Connemary Pub;;;;;;;;;;;
47.6996137,-2.7662587;;;;;;;;;;;;
50.7959518,3.1213794;René;;;;;;;;;;;
49.1048112,6.1821725;Au Bureau;yes;;+33 9 63 53 18 59;;;;;;;;"{""ref:FR:SIRET"": ""528 651 623 00167"", ""indoor:level"": ""0"", ""level"": ""0"", ""ref:FR:NAF"": ""5610A"", ""smoking"": ""no"", ""outdoor_seating"": ""yes""}"
45.6909068,4.937696;L'Entre-Temps;;;;;;;;;;;"{""outdoor_seating"": ""yes""}"
44.7619215,4.919351;Le Dauphinois;;;;;;;;;;;
48.7570303,5.9682044;Le Cep de Vigne;;;;;;;;;;;"{""addr:housenumber"": ""2"", ""source"": ""survey""}"
46.7928853,-2.0597193;Le Bergerac;;;;;;;;;;;"{""outdoor_seating"": ""yes""}"
42.700533899999996,2.8911982;Novelty Bar;;;;;;;;;;;"{""addr:street"": ""Boulevard Georges Clemenceau""}"
43.2972437,-0.36761079999999996;Bar-associatif culturel L'entre-temps;;;;;;;;;;64000;"{""addr:housenumber"": ""13"", ""addr:city"": ""Pau"", ""addr:street"": ""Rue Dubou\u00e9""}"
48.888443,2.3242029;Le Nova;;;;;;;;;;;
43.2930821,5.3831577;Le Pulse;;http://www.lepulse.fr;;Mardi-Samedi 16h00-02h00;;;;;;;"{""addr:housenumber"": ""94"", ""description"": ""LGBT"", ""addr:street"": ""Cours Julien""}"
47.700684,1.5077059;Le Longchamps;;;;;no;;;;;;"{""source"": ""Mapillary""}"
45.7792152,3.079931;Le Bar aux Maitres;;;;;;;;;;;
44.0135716,4.4197622;Le Grand Cafe;;;;;;;;;;;"{""food"": ""yes""}"
46.8424327,-1.4936525;Café des Sports;;;;;;;;;;;
48.8838481,2.2411323;Oriental Spirit;;http://info@oriental-spirit.com;;Lundi-Dimanche 14h00-00h00;;;;;;92800;"{""addr:housenumber"": ""30"", ""addr:city"": ""Puteaux"", ""addr:street"": ""Rue Marius Jacotot"", ""email"": ""info@oriental-spirit.com"", ""internet_access"": ""wlan""}"
44.0292707,5.9761424;;;;;;;;;;;;
48.864977,2.3855925;Brasserie Balthazar;;;;;;;;;;;
46.7795858,-1.0629407;Café des Sports PMU;;;;;;;;;;;
49.8943339,2.2933068;Café du Théâtre;;;;;;;;;;;
49.8969058,2.290421;Aux Tabacs de France;;;;;;;;;;;
43.7068668,2.6913043;Le globe;;;;;;;;;;;
43.1553958,-0.5965649;;;;;"Lundi 18h00-22h00; Mardi-Samedi 11h00-14h30;18h00-22h00; Dimanche 11h00-14h30";;;;;;;
45.7669813,4.8321425;Au comptoir du poulet;;;;"Lundi-Jeudi 11h30-14h00, 18h30-22h00; Vendredi, Samedi 11h30-14h30, 18h30-23h00; Dimanche 12h00-14h30, 18h00-22h00";;;;;;;"{""smoking"": ""outside""}"
46.5620928,5.0115902;Relais de Brienne;;;;;;;;;;;
46.9201133,0.8036797;Préhisto Bar;;;;;;;;;;;
43.9573821,0.3715888;;;;;;;;;;;;
45.2969611,4.5606722;Café du midi;;;;;;;;;;;"{""outdoor_seating"": ""yes""}"
47.6381588,1.7686365;;;;;;;;;;;;
46.4349938,4.2732784;Café de France;;;;;;;;;;;"{""shop"": ""newsagent"", ""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2012"", ""tobacco"": ""yes""}"
47.5873869,1.3332359;Le Comptoir Irlandais;;;;;;;;;;;
43.2988601,-0.36812439999999996;Bar de la marine;;;;;;;;;;;"{""name:fr"": ""Bar de la marine""}"
48.5354419,7.4473506;Bistro des Brasseurs - PMU;;;+33 626323153;;;;;;;67190;"{""fixme"": ""position estimated"", ""addr:street"": ""Rue Mattfeld"", ""addr:city"": ""Mutzig"", ""addr:country"": ""FR""}"
47.508698,1.4555972;Le Mail;;;;;;;;;;;"{""shop"": ""kiosk"", ""tobacco"": ""yes"", ""tickets:public_transport"": ""yes""}"
45.0047383,6.1216654;The Red Frog;;;+33 4 76 79 23 28;;;;;;;38860;"{""addr:housenumber"": ""1"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Les Deux Alpes"", ""addr:street"": ""Place de l'Alpe de Venosc""}"
47.4083251,0.6817112;Le Tiparillo;;;;;;;;;;;"{""newspaper"": ""yes"", ""tobacco"": ""yes""}"
45.8545493,1.2875899;L'usine Michard;;;;Lundi-Vendredi 08h00-20h30;;;;;;;"{""outdoor_seating"": ""yes""}"
43.6068374,3.8774202;Big Mama;;http://www.big-mama.fr;+33 4 67 86 79 20;"Lundi-Vendredi 12h00-14h00,18h00-01h00; Mercredi 18h00-01h00; Samedi 12h00-01h00; Dimanche 18h00-24h00";;;;;;34000;"{""addr:housenumber"": ""18"", ""description"": ""Burger maison & bi\u00e8res bouteilles ou pression locales."", ""smoking"": ""outside"", ""addr:street"": ""Rue Diderot"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Montpellier""}"
43.4797579,-1.5641427;L'Artnoa Maison des Vins à Biarritz;;;+33559247887;Mardi-Samedi 10h00-13h00, 16h30-23h00;;;;;;64200;
43.6051723,1.4439248;Fat Cat;;;;19h00 - 02h00;;;;;;31000;"{""addr:housenumber"": ""4"", ""addr:city"": ""Toulouse"", ""addr:street"": ""Rue Charles de R\u00e9musat""}"
48.512038,0.35352239999999996;Hôtel du Boeuf Noir;;;;;;;;;;;
43.4078577,5.9241752;Bar de la Fontaine;;;;;;;;;;83170;"{""outdoor_seating"": ""yes"", ""addr:city"": ""Tourves"", ""addr:street"": ""Place de l'H\u00f4tel de Ville""}"
48.8851339,2.3111181;au clair de lune;;;;Lundi-Dimanche 07h00-24h00;;;;;;75017;"{""addr:housenumber"": ""98"", ""cuisine"": ""french"", ""addr:street"": ""Rue de Levis""}"
45.4288193,1.3051824;;;;;;;;;;;;
45.3662295,1.7153557;La Source;;;;;;;;;;;
48.8831172,2.3495001;Bar le Barbès;;;;;;;;;;;"{""name:fr"": ""Bar le Barb\u00e8s"", ""survey:date"": ""2017-07-04""}"
48.1553117,-1.7165072000000001;Café de l'Étoile;;;;;;;;;;;"{""sells:tobacco"": ""yes"", ""sells:lottery"": ""yes"", ""sells:bookmaker"": ""yes"", ""sells:newsagent"": ""yes"", ""description"": ""Bar-tabac, Loto, PMU, presse""}"
45.6560743,5.862126;;;;;;;;;;;;"{""food"": ""yes""}"
44.843331,-0.5864218999999999;Le P'tit Bar;;;;;;;;;;;"{""contact:phone"": ""+33982568730"", ""level"": ""0""}"
43.6091033,3.8750722;Fabulous;;;;;;;;;;;"{""name:fr"": ""Fabulous""}"
47.7452317,-3.3748989;Le Merville;;;;;;;;;;;"{""outdoor_seating"": ""yes"", ""tobacco"": ""yes"", ""tickets:public_transport"": ""yes""}"
45.7659506,4.833876;Le Passage;;;;Mardi-Samedi 20h00-01h00;;;;;;;
48.8159071,3.3605028;Le St Barth;;;;;;;;;;;"{""sells:tobacco"": ""yes"", ""sells:gas"": ""yes""}"
48.630668299999996,6.3027378;Brasserie aux Oiseaux;;;;;;;;;;;"{""source"": ""survey""}"
48.0163097,6.5951127;Aux Montagnes des Vosges;;;;;;;;;;88200;"{""addr:housenumber"": ""10"", ""addr:street"": ""Rue des Capucins"", ""addr:city"": ""Remiremont"", ""addr:country"": ""FR""}"
43.6148436,3.8303383;Le Terminus;;;;;no;;;;;;
48.8851502,2.3400118;Tagada bar;;;;;;;;;;;"{""name:fr"": ""Tagada bar""}"
48.8769979,2.337065;The Cross of St George;;;;;;;;;;;"{""food"": ""yes""}"
49.8919227,2.2976791;;;;;;;;;;;;
44.3793455,4.7009841;;;;;;;;;;;;
46.158884,-1.1513788;Pub Lutèce;;;;;;;;;;;"{""name:fr"": ""Pub Lut\u00e8ce"", ""name:en"": ""Pub Lut\u00e8ce""}"
44.3565333,4.915228;Cave le Cellier des Templiers;;;+33490280100;Lundi-Samedi 09h00-12h00, 14h30-18h30;;;;;;84600;"{""email"": ""cellierdestempliers@orange.fr"", ""addr:street"": ""Route de La Baume-de-Transit \u00e0 Valr\u00e9as""}"
48.5111867,-2.1284757;Le Bistroquet;;;;;;;;;;;"{""tobacco"": ""yes""}"
42.6941544,2.8876998;Le Centre;;;;;;;;;;;
48.8321628,2.3726623;;;;;;;;;;;;"{""operator"": ""Felicit\u00e0""}"
43.3673414,-1.7936902;Rafael;;;;;;;;;;;
50.6189018,3.0503175;Le France;;;;;;;;;;;
45.9691879,-1.2366508999999999;;;;;;;;;;;;"{""outdoor_seating"": ""yes""}"
44.9209587,4.8861428;Estaminet;;;;;;;;;;;
47.2415105,-2.2683032;;;;;"Apr-Oct: Lundi-Vendredi 09h00-12h30,17h00-23h00; Samedi-Dimanche 09h00-23h00";yes;;;;;;"{""contact:phone"": ""+33 2 40705948""}"
